DETAILED TIMELINE - FIRST HOUR (3600 seconds)
Shows ACTUAL overlapping container execution with correct parallelism

Configuration:
Base Memory (M0),125.0 MB
Memory Multiplier,1.5x
Total GPU Memory,4096.0 MB
Container Duration,60 seconds (1 min)
Max Concurrent,3
Reset Interval,3 containers (dynamic)

Time (s),Containers Running,Container IDs,Memory Used (MB),Memory %,Remaining (MB),Can Launch New?,Decision Reason
1485,3,"C73, C74, C75",593.8,14.50%,3502.2,NO,Max parallel
1490,3,"C73, C74, C75",593.8,14.50%,3502.2,NO,Max parallel
1495,3,"C73, C74, C75",593.8,14.50%,3502.2,NO,Max parallel
1500,3,"C74, C75, C76",593.8,14.50%,3502.2,NO,Max parallel
1505,3,"C75, C76, C77",593.8,14.50%,3502.2,NO,Max parallel
1510,3,"C76, C77, C78",593.8,14.50%,3502.2,NO,Max parallel
1515,3,"C76, C77, C78",593.8,14.50%,3502.2,NO,Max parallel
1520,3,"C76, C77, C78",593.8,14.50%,3502.2,NO,Max parallel
1525,3,"C76, C77, C78",593.8,14.50%,3502.2,NO,Max parallel
1530,3,"C76, C77, C78",593.8,14.50%,3502.2,NO,Max parallel
1535,3,"C76, C77, C78",593.8,14.50%,3502.2,NO,Max parallel
1540,3,"C76, C77, C78",593.8,14.50%,3502.2,NO,Max parallel
1545,3,"C76, C77, C78",593.8,14.50%,3502.2,NO,Max parallel
1550,3,"C76, C77, C78",593.8,14.50%,3502.2,NO,Max parallel
1555,3,"C76, C77, C78",593.8,14.50%,3502.2,NO,Max parallel
1560,3,"C77, C78, C79",593.8,14.50%,3502.2,NO,Max parallel
1565,3,"C78, C79, C80",593.8,14.50%,3502.2,NO,Max parallel
1570,3,"C79, C80, C81",593.8,14.50%,3502.2,NO,Max parallel
1575,3,"C79, C80, C81",593.8,14.50%,3502.2,NO,Max parallel
1580,3,"C79, C80, C81",593.8,14.50%,3502.2,NO,Max parallel
1585,3,"C79, C80, C81",593.8,14.50%,3502.2,NO,Max parallel
1590,3,"C79, C80, C81",593.8,14.50%,3502.2,NO,Max parallel
1595,3,"C79, C80, C81",593.8,14.50%,3502.2,NO,Max parallel
1600,3,"C79, C80, C81",593.8,14.50%,3502.2,NO,Max parallel
1605,3,"C79, C80, C81",593.8,14.50%,3502.2,NO,Max parallel
1610,3,"C79, C80, C81",593.8,14.50%,3502.2,NO,Max parallel
1615,3,"C79, C80, C81",593.8,14.50%,3502.2,NO,Max parallel
1620,3,"C80, C81, C82",593.8,14.50%,3502.2,NO,Max parallel
1625,3,"C81, C82, C83",593.8,14.50%,3502.2,NO,Max parallel
1630,3,"C82, C83, C84",593.8,14.50%,3502.2,NO,Max parallel
1635,3,"C82, C83, C84",593.8,14.50%,3502.2,NO,Max parallel
1640,3,"C82, C83, C84",593.8,14.50%,3502.2,NO,Max parallel
1645,3,"C82, C83, C84",593.8,14.50%,3502.2,NO,Max parallel
1650,3,"C82, C83, C84",593.8,14.50%,3502.2,NO,Max parallel
1655,3,"C82, C83, C84",593.8,14.50%,3502.2,NO,Max parallel
1660,3,"C82, C83, C84",593.8,14.50%,3502.2,NO,Max parallel
1665,3,"C82, C83, C84",593.8,14.50%,3502.2,NO,Max parallel
1670,3,"C82, C83, C84",593.8,14.50%,3502.2,NO,Max parallel
1675,3,"C82, C83, C84",593.8,14.50%,3502.2,NO,Max parallel
1680,3,"C83, C84, C85",593.8,14.50%,3502.2,NO,Max parallel
1685,3,"C84, C85, C86",593.8,14.50%,3502.2,NO,Max parallel
1690,3,"C85, C86, C87",593.8,14.50%,3502.2,NO,Max parallel
1695,3,"C85, C86, C87",593.8,14.50%,3502.2,NO,Max parallel
1700,3,"C85, C86, C87",593.8,14.50%,3502.2,NO,Max parallel
1705,3,"C85, C86, C87",593.8,14.50%,3502.2,NO,Max parallel
1710,3,"C85, C86, C87",593.8,14.50%,3502.2,NO,Max parallel
1715,3,"C85, C86, C87",593.8,14.50%,3502.2,NO,Max parallel
1720,3,"C85, C86, C87",593.8,14.50%,3502.2,NO,Max parallel
1725,3,"C85, C86, C87",593.8,14.50%,3502.2,NO,Max parallel
1730,3,"C85, C86, C87",593.8,14.50%,3502.2,NO,Max parallel
