COMPREHENSIVE EXECUTION SCHEDULE
Complete container lifecycle with concurrent execution details
Generated:,2026-03-30 14:45:42

CONFIGURATION
Base Memory:,125.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

INDIVIDUAL CONTAINER EXECUTION
Container ID,Memory (MB),Type (n/cycle),Launch Time (s),Completion Time (s),Duration Actual (s),Status,State Count,Peak Concurrent,Overlapping Containers
1774879398.10,3,"C39, C40, C41",1335.9,32.62%,2760.1,LAUNCH
1774879451.77,2,"C40, C41",1054.7,25.75%,3041.3,LAUNCH
1774879453.18,3,"C40, C41, C42",2003.9,48.92%,2092.1,LAUNCH
1774879456.74,2,"C41, C42",1582.0,38.62%,2514.0,LAUNCH
1774879458.19,3,"C41, C42, C43",3005.9,73.39%,1090.1,LAUNCH
1774879461.79,2,"C42, C43",2373.0,57.94%,1723.0,LAUNCH
1774879516.92,1,C43,1423.8,34.76%,2672.2,LAUNCH
1774879516.92,2,"C43, C44",3559.6,86.90%,536.4,LAUNCH
1774879521.90,1,C44,2135.7,52.14%,1960.3,LAUNCH
1774879580.65,1,C45,3203.6,78.21%,892.4,LAUNCH
1774879583.35,2,"C45, C46",3328.6,81.26%,767.4,LAUNCH
1774879588.35,3,"C45, C46, C47",3516.1,85.84%,579.9,LAUNCH
1774879644.49,2,"C46, C47",312.5,7.63%,3783.5,LAUNCH
1774879647.07,1,C47,187.5,4.58%,3908.5,LAUNCH
1774879648.44,2,"C47, C48",468.8,11.44%,3627.2,LAUNCH
1774879652.13,1,C48,281.2,6.87%,3814.8,LAUNCH
1774879653.44,2,"C48, C49",703.1,17.17%,3392.9,LAUNCH
1774879658.44,3,"C48, C49, C50",1335.9,32.62%,2760.1,LAUNCH
1774879712.27,2,"C49, C50",1054.7,25.75%,3041.3,LAUNCH
1774879713.53,3,"C49, C50, C51",2003.9,48.92%,2092.1,LAUNCH
1774879717.09,2,"C50, C51",1582.0,38.62%,2514.0,LAUNCH
1774879718.53,3,"C50, C51, C52",3005.9,73.39%,1090.1,LAUNCH
1774879722.23,2,"C51, C52",2373.0,57.94%,1723.0,LAUNCH
1774879777.45,1,C52,1423.8,34.76%,2672.2,LAUNCH
1774879777.45,2,"C52, C53",3559.6,86.90%,536.4,LAUNCH
1774879782.29,1,C53,2135.7,52.14%,1960.3,LAUNCH
1774879841.39,1,C54,3203.6,78.21%,892.4,LAUNCH
1774879843.70,2,"C54, C55",3328.6,81.26%,767.4,LAUNCH
1774879848.70,3,"C54, C55, C56",3516.1,85.84%,579.9,LAUNCH
1774879905.16,2,"C55, C56",312.5,7.63%,3783.5,LAUNCH
1774879907.45,1,C56,187.5,4.58%,3908.5,LAUNCH
1774879908.80,2,"C56, C57",468.8,11.44%,3627.2,LAUNCH
1774879912.43,1,C57,281.2,6.87%,3814.8,LAUNCH
1774879913.80,2,"C57, C58",703.1,17.17%,3392.9,LAUNCH
1774879918.81,3,"C57, C58, C59",1335.9,32.62%,2760.1,LAUNCH
1774879972.42,2,"C58, C59",1054.7,25.75%,3041.3,LAUNCH
1774879973.90,3,"C58, C59, C60",2003.9,48.92%,2092.1,LAUNCH
1774879977.52,2,"C59, C60",1582.0,38.62%,2514.0,LAUNCH
1774879978.90,3,"C59, C60, C61",3005.9,73.39%,1090.1,LAUNCH
1774879982.48,2,"C60, C61",2373.0,57.94%,1723.0,LAUNCH
1774880037.53,1,C61,1423.8,34.76%,2672.2,LAUNCH
1774880037.53,2,"C61, C62",3559.6,86.90%,536.4,LAUNCH
1774880042.67,1,C62,2135.7,52.14%,1960.3,LAUNCH
1774880101.25,1,C63,3203.6,78.21%,892.4,LAUNCH
1774880104.09,2,"C63, C64",3328.6,81.26%,767.4,LAUNCH
1774880109.10,3,"C63, C64, C65",3516.1,85.84%,579.9,LAUNCH
1774880165.14,2,"C64, C65",312.5,7.63%,3783.5,LAUNCH
1774880167.74,1,C65,187.5,4.58%,3908.5,LAUNCH
1774880169.20,2,"C65, C66",468.8,11.44%,3627.2,LAUNCH
1774880172.85,1,C66,281.2,6.87%,3814.8,LAUNCH
1774880174.20,2,"C66, C67",703.1,17.17%,3392.9,LAUNCH
1774880179.21,3,"C66, C67, C68",1335.9,32.62%,2760.1,LAUNCH
1774880232.92,2,"C67, C68",1054.7,25.75%,3041.3,LAUNCH
1774880234.27,3,"C67, C68, C69",2003.9,48.92%,2092.1,LAUNCH
1774880237.85,2,"C68, C69",1582.0,38.62%,2514.0,LAUNCH
1774880239.28,3,"C68, C69, C70",3005.9,73.39%,1090.1,LAUNCH
1774880243.04,2,"C69, C70",2373.0,57.94%,1723.0,LAUNCH
1774880298.04,1,C70,1423.8,34.76%,2672.2,LAUNCH
1774880298.04,2,"C70, C71",3559.6,86.90%,536.4,LAUNCH
1774880303.13,1,C71,2135.7,52.14%,1960.3,LAUNCH
1774880361.72,1,C72,3203.6,78.21%,892.4,LAUNCH
1774880364.49,2,"C72, C73",3328.6,81.26%,767.4,LAUNCH
1774880369.49,3,"C72, C73, C74",3516.1,85.84%,579.9,LAUNCH
1774880425.54,2,"C73, C74",312.5,7.63%,3783.5,LAUNCH
1774880428.26,1,C74,187.5,4.58%,3908.5,LAUNCH
1774880429.60,2,"C74, C75",468.8,11.44%,3627.2,LAUNCH
1774880433.18,1,C75,281.2,6.87%,3814.8,LAUNCH
1774880434.60,2,"C75, C76",703.1,17.17%,3392.9,LAUNCH
1774880439.61,3,"C75, C76, C77",1335.9,32.62%,2760.1,LAUNCH
1774880493.26,2,"C76, C77",1054.7,25.75%,3041.3,LAUNCH
1774880494.70,3,"C76, C77, C78",2003.9,48.92%,2092.1,LAUNCH
1774880498.30,2,"C77, C78",1582.0,38.62%,2514.0,LAUNCH
1774880499.71,3,"C77, C78, C79",3005.9,73.39%,1090.1,LAUNCH
1774880503.38,2,"C78, C79",2373.0,57.94%,1723.0,LAUNCH
1774880558.47,1,C79,1423.8,34.76%,2672.2,LAUNCH
1774880558.47,2,"C79, C80",3559.6,86.90%,536.4,LAUNCH
1774880563.41,1,C80,2135.7,52.14%,1960.3,LAUNCH
1774880622.13,1,C81,3203.6,78.21%,892.4,LAUNCH
1774880624.86,2,"C81, C82",3328.6,81.26%,767.4,LAUNCH
1774880629.86,3,"C81, C82, C83",3516.1,85.84%,579.9,LAUNCH
1774880685.92,2,"C82, C83",312.5,7.63%,3783.5,LAUNCH
1774880688.61,1,C83,187.5,4.58%,3908.5,LAUNCH
1774880689.91,2,"C83, C84",468.8,11.44%,3627.2,LAUNCH
1774880693.49,1,C84,281.2,6.87%,3814.8,LAUNCH
1774880694.92,2,"C84, C85",703.1,17.17%,3392.9,LAUNCH
1774880699.92,3,"C84, C85, C86",1335.9,32.62%,2760.1,LAUNCH
1774880753.60,2,"C85, C86",1054.7,25.75%,3041.3,LAUNCH
1774880754.94,3,"C85, C86, C87",2003.9,48.92%,2092.1,LAUNCH
1774880758.62,2,"C86, C87",1582.0,38.62%,2514.0,LAUNCH
