timestamp_s,time_hms,active_containers,memory_mb,utilization_percent
33570,09:19:30,3,4094.5,99.96
33600,09:20:00,3,4094.5,99.96
33630,09:20:30,3,4094.5,99.96
33660,09:21:00,3,4094.5,99.96
33690,09:21:30,3,4094.5,99.96
33720,09:22:00,3,4094.5,99.96
33750,09:22:30,3,4094.5,99.96
33780,09:23:00,3,4094.5,99.96
33810,09:23:30,3,4094.5,99.96
33840,09:24:00,3,4094.5,99.96
33870,09:24:30,3,4094.5,99.96
33900,09:25:00,3,4094.5,99.96
33930,09:25:30,3,4094.5,99.96
33960,09:26:00,3,4094.5,99.96
33990,09:26:30,3,4094.5,99.96
34020,09:27:00,3,4094.5,99.96
34050,09:27:30,3,4094.5,99.96
34080,09:28:00,3,4094.5,99.96
34110,09:28:30,3,4094.5,99.96
34140,09:29:00,3,4094.5,99.96
34170,09:29:30,3,4094.5,99.96
34200,09:30:00,3,4094.5,99.96
34230,09:30:30,3,4094.5,99.96
34260,09:31:00,3,4094.5,99.96
34290,09:31:30,3,4094.5,99.96
34320,09:32:00,3,4094.5,99.96
34350,09:32:30,3,4094.5,99.96
34380,09:33:00,3,4094.5,99.96
34410,09:33:30,3,4094.5,99.96
34440,09:34:00,3,4094.5,99.96
34470,09:34:30,3,4094.5,99.96
34500,09:35:00,3,4094.5,99.96
34530,09:35:30,3,4094.5,99.96
34560,09:36:00,3,4094.5,99.96
34590,09:36:30,3,4094.5,99.96
34620,09:37:00,3,4094.5,99.96
34650,09:37:30,3,4094.5,99.96
34680,09:38:00,3,4094.5,99.96
34710,09:38:30,3,4094.5,99.96
34740,09:39:00,3,4094.5,99.96
34770,09:39:30,3,4094.5,99.96
34800,09:40:00,3,4094.5,99.96
34830,09:40:30,3,4094.5,99.96
34860,09:41:00,3,4094.5,99.96
34890,09:41:30,3,4094.5,99.96
34920,09:42:00,3,4094.5,99.96
34950,09:42:30,3,4094.5,99.96
34980,09:43:00,3,4094.5,99.96
35010,09:43:30,3,4094.5,99.96
35040,09:44:00,3,4094.5,99.96
35070,09:44:30,3,4094.5,99.96
35100,09:45:00,3,4094.5,99.96
35130,09:45:30,3,4094.5,99.96
35160,09:46:00,3,4094.5,99.96
35190,09:46:30,3,4094.5,99.96
35220,09:47:00,3,4094.5,99.96
35250,09:47:30,3,4094.5,99.96
35280,09:48:00,3,4094.5,99.96
35310,09:48:30,3,4094.5,99.96
35340,09:49:00,3,4094.5,99.96
35370,09:49:30,3,4094.5,99.96
35400,09:50:00,3,4094.5,99.96
35430,09:50:30,3,4094.5,99.96
35460,09:51:00,3,4094.5,99.96
35490,09:51:30,3,4094.5,99.96
35520,09:52:00,3,4094.5,99.96
35550,09:52:30,3,4094.5,99.96
35580,09:53:00,3,4094.5,99.96
35610,09:53:30,3,4094.5,99.96
35640,09:54:00,3,4094.5,99.96
35670,09:54:30,3,4094.5,99.96
35700,09:55:00,3,4094.5,99.96
35730,09:55:30,3,4094.5,99.96
35760,09:56:00,3,4094.5,99.96
35790,09:56:30,3,4094.5,99.96
35820,09:57:00,3,4094.5,99.96
35850,09:57:30,3,4094.5,99.96
35880,09:58:00,3,4094.5,99.96
35910,09:58:30,3,4094.5,99.96
35940,09:59:00,3,4094.5,99.96
35970,09:59:30,3,4094.5,99.96
36000,10:00:00,3,4094.5,99.96
36030,10:00:30,3,4094.5,99.96
36060,10:01:00,3,4094.5,99.96
36090,10:01:30,3,4094.5,99.96
36120,10:02:00,3,4094.5,99.96
36150,10:02:30,3,4094.5,99.96
36180,10:03:00,3,4094.5,99.96
36210,10:03:30,3,4094.5,99.96
